"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.343657802929677,0.141557769315091,0.4,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"2","X=~x2",0.855953225038407,0.139074476621074,0.8,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"3","X=~x3",0.856279855240391,0.125299396924734,0.8,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"4","Z=~z1",0.681002024298744,0.110684260959546,0.6,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"5","Z=~z2",0.454667864267416,0.138477545568786,0.6,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"6","Z=~z3",0.851855173417012,0.139992520545082,0.8,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"7","Y=~y1",0.47956775881536,0.103322662932414,0.4,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"8","Y=~y2",0.75403059981417,0.109205523188549,0.7,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"9","Y=~y3",0.8450072576449,0.0950672515814735,0.9,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"10","Y~X",0.43121443166093,0.196003891879594,0.4,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"11","Y~Z",0.447020690929211,0.193809079281191,0.5,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"12","Y~X:Z",0.27830176894888,0.435663664255598,0.3,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"13","X~~Z",0.302639912491758,0.112744009445421,0.2,"MC-OrdPLSc",18417,4378511,300,"Extreme","2",1,TRUE,11.941
"14","X=~x1",0.147196133447678,0.185944284309623,0.4,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
"15","X=~x2",0.999,0.294744521538445,0.8,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
"16","X=~x3",0.663590568683708,0.213638877836039,0.8,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
"17","Z=~z1",0.485387662903818,0.329842495768166,0.6,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
"18","Z=~z2",0.480740288192818,0.21882994195594,0.6,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
"19","Z=~z3",0.999,0.329993859852681,0.8,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
"20","Y=~y1",0.314230040208773,0.143925955333307,0.4,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
"21","Y=~y2",0.769476920733241,0.132033994577067,0.7,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
"22","Y=~y3",0.846882197270458,0.131142359269694,0.9,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
"23","Y~X",0.522955365667507,0.141744935157982,0.4,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
"24","Y~Z",0.411363482461395,0.208894252126998,0.5,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
"25","Y~X:Z",0.181524777414816,0.222043152565492,0.3,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
"26","X~~Z",0.362128259981721,0.235441274743509,0.2,"MC-OrdPLSc",18433,4846122,300,"Alt.Ext","2",1,TRUE,11.5089999999999
