"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.58438657002433,0.0835333121035229,0.4,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"2","X=~x2",0.714299598506113,0.073478823380156,0.8,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"3","X=~x3",0.748856229665756,0.0724690652786061,0.8,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"4","Z=~z1",0.776044013052393,0.0852452909506387,0.6,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"5","Z=~z2",0.559837503484357,0.0771784885871568,0.6,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"6","Z=~z3",0.722505356975035,0.0771791713500725,0.8,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"7","Y=~y1",0.34668782266196,0.10780460215674,0.4,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"8","Y=~y2",0.703049949461525,0.0904912399611718,0.7,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"9","Y=~y3",0.887436812422991,0.102046223771553,0.9,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"10","Y~X",0.446778959764513,0.114790495194103,0.4,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"11","Y~Z",0.389465212647497,0.136525877639434,0.5,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"12","Y~X:Z",0.470054044572189,0.110152289525018,0.3,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"13","X~~Z",0.390243029694977,0.107366305828477,0.2,"MC-OrdPLSc-II",5641,1890606,300,"Symmetric","2",1,TRUE,5.92799999999988
"14","X=~x1",0.299518521379256,0.0721512293473176,0.4,"MC-OrdPLSc-II",5642,8138483,1000,"Symmetric","2",1,TRUE,5.37899999999991
"15","X=~x2",0.733494075780136,0.0625414169083142,0.8,"MC-OrdPLSc-II",5642,8138483,1000,"Symmetric","2",1,TRUE,5.37899999999991
"16","X=~x3",0.888127517988343,0.0563994701220205,0.8,"MC-OrdPLSc-II",5642,8138483,1000,"Symmetric","2",1,TRUE,5.37899999999991
"17","Z=~z1",0.6325492377782,0.0508342676245639,0.6,"MC-OrdPLSc-II",5642,8138483,1000,"Symmetric","2",1,TRUE,5.37899999999991
"18","Z=~z2",0.674418013767906,0.0616618400360985,0.6,"MC-OrdPLSc-II",5642,8138483,1000,"Symmetric","2",1,TRUE,5.37899999999991
"19","Z=~z3",0.779976628595182,0.0534744148852936,0.8,"MC-OrdPLSc-II",5642,8138483,1000,"Symmetric","2",1,TRUE,5.37899999999991
"20","Y=~y1",0.403020526246169,0.0538935440084242,0.4,"MC-OrdPLSc-II",5642,8138483,1000,"Symmetric","2",1,TRUE,5.37899999999991
"21","Y=~y2",0.769280173354664,0.0345438432622613,0.7,"MC-OrdPLSc-II",5642,8138483,1000,"Symmetric","2",1,TRUE,5.37899999999991
"22","Y=~y3",0.885123893129915,0.0454385550498084,0.9,"MC-OrdPLSc-II",5642,8138483,1000,"Symmetric","2",1,TRUE,5.37899999999991
