"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.256421671807603,0.396805224180731,0.4,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"2","X=~x2",0.8323564767192,1.67700712170304,0.8,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"3","X=~x3",0.907391752435071,1.73058188204026,0.8,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"4","Z=~z1",0.513526056044023,0.126915807739362,0.6,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"5","Z=~z2",0.605157451592356,0.144682573881638,0.6,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"6","Z=~z3",0.743463597343181,0.126312759350166,0.8,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"7","Y=~y1",0.433747488735246,0.0816982189752631,0.4,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"8","Y=~y2",0.695863114761195,0.176275771878588,0.7,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"9","Y=~y3",0.922901136683035,0.0874860678119952,0.9,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"10","Y~X",0.329427851688443,0.192558605599016,0.4,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"11","Y~Z",0.593776784653673,0.203733625521373,0.5,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"12","Y~X:Z",0.378236027720103,0.388975338476097,0.3,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"13","X~~Z",0.0544380351984678,0.398586203975403,0.2,"MC-OrdPLSc-II",13561,5674967,300,"Symmetric","2",1,TRUE,9.11499999999978
"14","X=~x1",0.426928394453097,0.0752197452690055,0.4,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"15","X=~x2",0.806764216984737,0.0409499017954155,0.8,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"16","X=~x3",0.842815980042168,0.0472351992219572,0.8,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"17","Z=~z1",0.592557242053796,0.0340392009109716,0.6,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"18","Z=~z2",0.562134486159921,0.0423744757799478,0.6,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"19","Z=~z3",0.853854935327093,0.0463098060010075,0.8,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"20","Y=~y1",0.398342349425027,0.0584097043000561,0.4,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"21","Y=~y2",0.689177851102923,0.0464228941382024,0.7,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"22","Y=~y3",0.837874294589346,0.0557961958168211,0.9,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"23","Y~X",0.429489888320967,0.0637916846494853,0.4,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"24","Y~Z",0.501611911656066,0.052837272837708,0.5,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"25","Y~X:Z",0.341095514015978,0.0945559962565682,0.3,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"26","X~~Z",0.223784628618453,0.0501255326296545,0.2,"MC-OrdPLSc-II",13562,4810241,1000,"Symmetric","2",1,TRUE,7.9330000000009
"27","X=~x1",0.490891924533676,0.0560090994914934,0.4,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"28","X=~x2",0.71262911609928,0.0746775769707935,0.8,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"29","X=~x3",0.857116727442185,0.0836263234766762,0.8,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"30","Z=~z1",0.671046844775937,0.0770601163021957,0.6,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"31","Z=~z2",0.520659923549675,0.0966920630159134,0.6,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"32","Z=~z3",0.878879310793945,0.0739143767294158,0.8,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"33","Y=~y1",0.507423797760666,0.0843288131175415,0.4,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"34","Y=~y2",0.648404016097415,0.0809059427560403,0.7,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"35","Y=~y3",0.87317267874412,0.0570802603507847,0.9,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"36","Y~X",0.431353048900203,0.0986495890538254,0.4,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"37","Y~Z",0.452839982108342,0.106878267221698,0.5,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"38","Y~X:Z",0.266334771800523,0.13012328698973,0.3,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"39","X~~Z",0.267937950935919,0.0950489741662587,0.2,"MC-OrdPLSc-II",13563,2574996,300,"Symmetric","3",1,TRUE,6.92500000000109
"40","X=~x1",0.446503763752441,0.0542683561178395,0.4,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"41","X=~x2",0.768418355631846,0.035287100557135,0.8,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"42","X=~x3",0.847598849452962,0.0392460801408082,0.8,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"43","Z=~z1",0.608426548953457,0.0387821600971132,0.6,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"44","Z=~z2",0.596291816006587,0.0468800078035232,0.6,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"45","Z=~z3",0.836396039700259,0.0369819672614185,0.8,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"46","Y=~y1",0.406337931641983,0.0455690583351302,0.4,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"47","Y=~y2",0.67356135930653,0.0328846018699166,0.7,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"48","Y=~y3",0.869221182503629,0.0317777358480218,0.9,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"49","Y~X",0.372555139034251,0.0403580354033889,0.4,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"50","Y~Z",0.528747414366643,0.0403639627021584,0.5,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"51","Y~X:Z",0.29279473543616,0.0740278987697999,0.3,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"52","X~~Z",0.21914584156783,0.0393505373155141,0.2,"MC-OrdPLSc-II",13564,800373,1000,"Symmetric","3",1,TRUE,7.85000000000036
"53","X=~x1",0.125757171938272,0.134130874390758,0.4,"MC-OrdPLSc-II",13565,7774944,300,"Symmetric","5",1,TRUE,8.39700000000084
"54","X=~x2",0.790486185771534,0.126459655627113,0.8,"MC-OrdPLSc-II",13565,7774944,300,"Symmetric","5",1,TRUE,8.39700000000084
"55","X=~x3",0.856892028688876,0.166111418720892,0.8,"MC-OrdPLSc-II",13565,7774944,300,"Symmetric","5",1,TRUE,8.39700000000084
"56","Z=~z1",0.507575054984793,0.0628187201496923,0.6,"MC-OrdPLSc-II",13565,7774944,300,"Symmetric","5",1,TRUE,8.39700000000084
"57","Z=~z2",0.654324579068899,0.0559105048824593,0.6,"MC-OrdPLSc-II",13565,7774944,300,"Symmetric","5",1,TRUE,8.39700000000084
"58","Z=~z3",0.901118329516052,0.0415649583504728,0.8,"MC-OrdPLSc-II",13565,7774944,300,"Symmetric","5",1,TRUE,8.39700000000084
"59","Y=~y1",0.385102929753491,0.069441136670372,0.4,"MC-OrdPLSc-II",13565,7774944,300,"Symmetric","5",1,TRUE,8.39700000000084
"60","Y=~y2",0.65314101323327,0.0757806952684975,0.7,"MC-OrdPLSc-II",13565,7774944,300,"Symmetric","5",1,TRUE,8.39700000000084
"61","Y=~y3",0.930053710931094,0.0587100191617918,0.9,"MC-OrdPLSc-II",13565,7774944,300,"Symmetric","5",1,TRUE,8.39700000000084
