"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.447568149317599,0.127958773643067,0.4,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"2","X=~x2",0.72450698766913,0.103105079328452,0.8,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"3","X=~x3",0.88441329035655,0.247995865287477,0.8,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"4","Z=~z1",0.558489491999436,0.201093513251727,0.6,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"5","Z=~z2",0.654748791962573,0.136292115559877,0.6,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"6","Z=~z3",0.834372375526268,0.102216121448204,0.8,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"7","Y=~y1",0.364342352047037,0.099095018640252,0.4,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"8","Y=~y2",0.800663211478671,0.111198319132131,0.7,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"9","Y=~y3",0.792593658936839,0.0986267081201972,0.9,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"10","Y~X",0.548096094534695,0.125864083484422,0.4,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"11","Y~Z",0.480591549569918,0.07534349718617,0.5,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"12","Y~X:Z",0.277428183603667,0.190618656006829,0.3,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"13","X~~Z",0.0456498805393935,0.157830623041801,0.2,"MC-OrdPLSc-Median",3041,1088178,300,"Symmetric","2",1,TRUE,107.080000000016
"14","X=~x1",0.411336477957841,0.0783706875720154,0.4,"MC-OrdPLSc-Median",3042,1846396,1000,"Symmetric","2",1,TRUE,42.6860000000161
"15","X=~x2",0.810131796194384,0.0519987789234294,0.8,"MC-OrdPLSc-Median",3042,1846396,1000,"Symmetric","2",1,TRUE,42.6860000000161
"16","X=~x3",0.78362833586486,0.0605305367580747,0.8,"MC-OrdPLSc-Median",3042,1846396,1000,"Symmetric","2",1,TRUE,42.6860000000161
