"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.433965979325661,0.0946098396752434,0.4,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"2","X=~x2",0.887979393851378,0.0638684315270127,0.8,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"3","X=~x3",0.693201289412991,0.0902997399313866,0.8,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"4","Z=~z1",0.70176027975769,0.0917255418129196,0.6,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"5","Z=~z2",0.609366823254937,0.099755459528117,0.6,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"6","Z=~z3",0.8164379196459,0.059132456727204,0.8,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"7","Y=~y1",0.437686790568192,0.0700499292390656,0.4,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"8","Y=~y2",0.679183209612267,0.101668356885062,0.7,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"9","Y=~y3",0.92518092189219,0.0646290490080133,0.9,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"10","Y~X",0.5094158636527,0.0910260678036312,0.4,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"11","Y~Z",0.518827093530019,0.0818452574030632,0.5,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"12","Y~X:Z",0.437739513263822,0.176587980320249,0.3,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"13","X~~Z",0.126100737532023,0.11951798013359,0.2,"MC-OrdPLSc-II",6841,8769021,300,"Symmetric","2",1,TRUE,8.38200000000143
"14","X=~x1",0.371287051083261,0.0623717475314368,0.4,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"15","X=~x2",0.776497691426129,0.0363136257978019,0.8,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"16","X=~x3",0.861965229560802,0.0508771453103187,0.8,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"17","Z=~z1",0.619078891191885,0.0571301110382696,0.6,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"18","Z=~z2",0.592702424658682,0.0387146246937822,0.6,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"19","Z=~z3",0.795837968140001,0.0480980415126622,0.8,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"20","Y=~y1",0.350883131670821,0.0877452224590461,0.4,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"21","Y=~y2",0.686332109570933,0.044658909291875,0.7,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"22","Y=~y3",0.90901037764814,0.069265799870137,0.9,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"23","Y~X",0.324204802291415,0.0542289328308293,0.4,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"24","Y~Z",0.4801094909012,0.0535196231130654,0.5,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"25","Y~X:Z",0.403509433765815,0.0998699677544298,0.3,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"26","X~~Z",0.290154907523873,0.0555600746193526,0.2,"MC-OrdPLSc-II",6842,4438363,1000,"Symmetric","2",1,TRUE,8.09200000000055
"27","X=~x1",0.453353962692297,0.0781789537928856,0.4,"MC-OrdPLSc-II",6843,3075710,300,"Symmetric","3",1,TRUE,6.5630000000001
"28","X=~x2",0.960558068499284,0.102776316850929,0.8,"MC-OrdPLSc-II",6843,3075710,300,"Symmetric","3",1,TRUE,6.5630000000001
