"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"1","X=~x1",0.779826840831156,0.100552375510663,0.8,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"2","X=~x2",0.937201781888728,0.095149792618789,0.8,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"3","X=~x3",0.726477591849421,0.103118949422518,0.8,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"4","Z=~z1",0.8012369010421,0.0900934421299978,0.8,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"5","Z=~z2",0.823926871293466,0.0849250000789771,0.8,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"6","Z=~z3",0.751534546523516,0.0862291254076086,0.8,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"7","Y=~y1",0.876348755431077,0.0497452021323395,0.8,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"8","Y=~y2",0.921391791532577,0.0541567040592019,0.8,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"9","Y=~y3",0.800022798380195,0.0566380939945041,0.8,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"10","Y~X",0.315841209756275,0.0971903983183403,0.4,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"11","Y~Z",0.572320336067044,0.0782038113048776,0.5,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"12","Y~X:Z",0.281530917252541,0.141765388409824,0.3,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"13","X~~Z",0.191600037305001,0.11183280929959,0.2,"MC-OrdPLSc",961,725036,200,"Symmetric","2",TRUE,13.7700000000041
"14","X=~x1",NA,NA,0.8,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"15","X=~x2",NA,NA,0.8,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"16","X=~x3",NA,NA,0.8,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"17","Z=~z1",NA,NA,0.8,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"18","Z=~z2",NA,NA,0.8,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"19","Z=~z3",NA,NA,0.8,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"20","Y=~y1",NA,NA,0.8,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"21","Y=~y2",NA,NA,0.8,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"22","Y=~y3",NA,NA,0.8,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"23","Y~X",NA,NA,0.4,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"24","Y~Z",NA,NA,0.5,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"25","Y~X:Z",NA,NA,0.3,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"26","X~~Z",NA,NA,0.2,"PLSc",961,725036,200,"Symmetric","2",FALSE,3.19000000000233
"27","X=~x1",0.787060557954396,0.0613820858149818,0.8,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"28","X=~x2",0.862906666815913,0.0382802465784794,0.8,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"29","X=~x3",0.747889916733934,0.0729614291128039,0.8,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"30","Z=~z1",0.791882438674464,0.0462266857516271,0.8,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"31","Z=~z2",0.806488342598037,0.0409570599929236,0.8,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"32","Z=~z3",0.763167475420947,0.0510187523962041,0.8,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"33","Y=~y1",0.837784101459165,0.0277962437636486,0.8,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"34","Y=~y2",0.854953270571172,0.0274149737866475,0.8,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"35","Y=~y3",0.787523163992939,0.0410971830153181,0.8,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"36","Y~X",0.249052095326224,0.0581725918172861,0.4,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"37","Y~Z",0.406010338746509,0.0577697932190225,0.5,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"38","Y~X:Z",0.12250414040876,0.0583646327464284,0.3,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"39","X~~Z",0.126742817353744,0.0728111467877795,0.2,"PLS",961,725036,200,"Symmetric","2",TRUE,2.11000000000058
"40","X=~x1",0.652,0.088,0.8,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"41","X=~x2",0.986,0.048,0.8,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"42","X=~x3",0.749,0.08,0.8,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"43","Z=~z1",0.789,0.073,0.8,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"44","Z=~z2",0.795,0.074,0.8,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"45","Z=~z3",0.725,0.08,0.8,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"46","Y=~y1",0.872,0.054,0.8,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"47","Y=~y2",0.918,0.047,0.8,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"48","Y=~y3",0.794,0.063,0.8,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"49","Y~X",0.288,0.091,0.4,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"50","Y~Z",0.578,0.084,0.5,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"51","Y~X:Z",0.263,0.12,0.3,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"52","X~~Z",0.188,0.105,0.2,"Mplus",961,725036,200,"Symmetric","2",TRUE,50.1800000000003
"53","X=~x1",NA,NA,0.5,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"54","X=~x2",NA,NA,0.5,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"55","X=~x3",NA,NA,0.5,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"56","Z=~z1",NA,NA,0.5,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"57","Z=~z2",NA,NA,0.5,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"58","Z=~z3",NA,NA,0.5,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"59","Y=~y1",NA,NA,0.5,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"60","Y=~y2",NA,NA,0.5,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"61","Y=~y3",NA,NA,0.5,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"62","Y~X",NA,NA,0.4,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"63","Y~Z",NA,NA,0.5,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"64","Y~X:Z",NA,NA,0.3,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"65","X~~Z",NA,NA,0.2,"MC-OrdPLSc",962,9975991,200,"Symmetric","2",FALSE,31.2799999999988
"66","X=~x1",NA,NA,0.5,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"67","X=~x2",NA,NA,0.5,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"68","X=~x3",NA,NA,0.5,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"69","Z=~z1",NA,NA,0.5,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"70","Z=~z2",NA,NA,0.5,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"71","Z=~z3",NA,NA,0.5,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"72","Y=~y1",NA,NA,0.5,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"73","Y=~y2",NA,NA,0.5,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"74","Y=~y3",NA,NA,0.5,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"75","Y~X",NA,NA,0.4,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"76","Y~Z",NA,NA,0.5,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"77","Y~X:Z",NA,NA,0.3,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"78","X~~Z",NA,NA,0.2,"PLSc",962,9975991,200,"Symmetric","2",FALSE,4.44999999999709
"79","X=~x1",0.708863763470286,0.151456127559947,0.5,"PLS",962,9975991,200,"Symmetric","2",TRUE,3.32999999999447
"80","X=~x2",0.772563387599403,0.132558162517158,0.5,"PLS",962,9975991,200,"Symmetric","2",TRUE,3.32999999999447
"81","X=~x3",0.101974762500841,0.272966634732484,0.5,"PLS",962,9975991,200,"Symmetric","2",TRUE,3.32999999999447
"82","Z=~z1",0.742287427268923,0.111267779490549,0.5,"PLS",962,9975991,200,"Symmetric","2",TRUE,3.32999999999447
"83","Z=~z2",0.578661316044117,0.146739326817556,0.5,"PLS",962,9975991,200,"Symmetric","2",TRUE,3.32999999999447
"84","Z=~z3",0.683536475622653,0.115428496051243,0.5,"PLS",962,9975991,200,"Symmetric","2",TRUE,3.32999999999447
