"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"1","X=~x1",0.773230883163878,0.121995739063708,0.8,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"2","X=~x2",0.863623960505866,0.106783698877384,0.8,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"3","X=~x3",0.716206323749655,0.12485570783395,0.8,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"4","Z=~z1",0.859000139376595,0.068724399558892,0.8,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"5","Z=~z2",0.796730354435304,0.0649455165838609,0.8,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"6","Z=~z3",0.830398400992523,0.0683162508749891,0.8,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"7","Y=~y1",0.657851113012915,0.0997512843226898,0.8,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"8","Y=~y2",0.8541065483773,0.0739248642757951,0.8,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"9","Y=~y3",0.790538817860333,0.0784958996975514,0.8,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"10","Y~X",0.462886979005164,0.0892128163191469,0.4,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"11","Y~Z",0.643542741177488,0.0835253240119399,0.5,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"12","Y~X:Z",0.484234766251869,0.121500410278592,0.3,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"13","X~~Z",0.0269007118500983,0.10443446160926,0.2,"MC-OrdPLSc",1,7937914,200,"Symmetric","2",TRUE,9.80999999999949
"14","X=~x1",0.56494133792718,0.136393445477142,0.8,"PLSc",1,7937914,200,"Symmetric","2",TRUE,2.19000000000051
"15","X=~x2",0.810332561899591,0.126602548578537,0.8,"PLSc",1,7937914,200,"Symmetric","2",TRUE,2.19000000000051
