"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.54560417690066,0.0962531269017582,0.4,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"2","X=~x2",0.791181188151717,0.0956759771229504,0.8,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"3","X=~x3",0.801541975476113,0.0915505515065288,0.8,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"4","Z=~z1",0.59033710442774,0.0958365425136982,0.6,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"5","Z=~z2",0.720572867897992,0.0731621568451564,0.6,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"6","Z=~z3",0.689507755610677,0.0915386315947973,0.8,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"7","Y=~y1",0.416813608932202,0.087971582530739,0.4,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"8","Y=~y2",0.827243761270236,0.0643807314661501,0.7,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"9","Y=~y3",0.806049670478831,0.0724952053277167,0.9,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"10","Y~X",0.448811641596376,0.0762693723099155,0.4,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"11","Y~Z",0.570383130632624,0.0839194855720443,0.5,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"12","Y~X:Z",0.343024418331898,0.148905875882104,0.3,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"13","X~~Z",0.111018200888271,0.0970432345810977,0.2,"MC-OrdPLSc",8881,2239200,300,"Symmetric","2",1,TRUE,10.59
"14","X=~x1",0.468406861638145,0.112657285591967,0.4,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"15","X=~x2",0.632741983743405,0.096694754181249,0.8,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"16","X=~x3",0.651160174443231,0.110600259497289,0.8,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"17","Z=~z1",0.501308448427789,0.0912739153010558,0.6,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"18","Z=~z2",0.606761862873292,0.0855871295221332,0.6,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"19","Z=~z3",0.508884564213072,0.094142002100116,0.8,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"20","Y=~y1",0.272066790058266,0.0871060200864541,0.4,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"21","Y=~y2",0.696683448905004,0.0687558906448848,0.7,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"22","Y=~y3",0.666298146688715,0.0673485275478895,0.9,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"23","Y~X",0.422031851506671,0.0876977938398908,0.4,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"24","Y~Z",0.559710432415801,0.105121310826443,0.5,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"25","Y~X:Z",0.25233652605908,0.120915634000376,0.3,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"26","X~~Z",0.107803871380087,0.0915795760359477,0.2,"PLSc",8881,2239200,300,"Symmetric","2",1,TRUE,3.333
"27","X=~x1",0.61557559586544,0.0856371602894275,0.4,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"28","X=~x2",0.801847788917904,0.0478831425261296,0.8,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"29","X=~x3",0.806706268608994,0.0513896035940999,0.8,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"30","Z=~z1",0.666040080364069,0.0721845891433491,0.6,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"31","Z=~z2",0.764960409528003,0.0516817451545473,0.6,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"32","Z=~z3",0.743843293302626,0.0588563827368413,0.8,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"33","Y=~y1",0.490081988328164,0.0864395759799554,0.4,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"34","Y=~y2",0.826210475995601,0.0333659830474948,0.7,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"35","Y=~y3",0.817658222139662,0.0329489693330333,0.9,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"36","Y~X",0.294298482523881,0.0444264973454885,0.4,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"37","Y~Z",0.34158616014805,0.0503095120477613,0.5,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"38","Y~X:Z",0.120323413735286,0.0462337092930538,0.3,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"39","X~~Z",0.063596171009564,0.0550756187588812,0.2,"PLS",8881,2239200,300,"Symmetric","2",1,TRUE,1.311
"40","X=~x1",0.469,0.078,0.4,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"41","X=~x2",0.799,0.077,0.8,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"42","X=~x3",0.792,0.077,0.8,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"43","Z=~z1",0.539,0.082,0.6,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"44","Z=~z2",0.662,0.081,0.6,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"45","Z=~z3",0.718,0.083,0.8,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"46","Y=~y1",0.413,0.081,0.4,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"47","Y=~y2",0.816,0.071,0.7,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"48","Y=~y3",0.777,0.073,0.9,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"49","Y~X",0.42,0.086,0.4,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"50","Y~Z",0.589,0.083,0.5,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"51","Y~X:Z",0.388,0.114,0.3,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"52","X~~Z",0.124,0.1,0.2,"Mplus",8881,2239200,300,"Symmetric","2",1,TRUE,160.433
"53","X=~x1",0.308589558101829,0.0634595518850859,0.4,"MC-OrdPLSc",8882,2921749,1000,"Symmetric","2",1,TRUE,15.401
"54","X=~x2",0.811949922674616,0.0489727553835321,0.8,"MC-OrdPLSc",8882,2921749,1000,"Symmetric","2",1,TRUE,15.401
