"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.424366568259972,0.1597414763326,0.4,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"2","X=~x2",0.99899391308842,0.203964144348735,0.8,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"3","X=~x3",0.57939705803038,0.199199935360249,0.8,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"4","Z=~z1",0.44983646534566,0.167090989949223,0.6,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"5","Z=~z2",0.739583784493189,0.202731722047932,0.6,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"6","Z=~z3",0.633788297059334,0.196464343070157,0.8,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"7","Y=~y1",0.257891469736248,0.159492893896711,0.4,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"8","Y=~y2",0.645496495974626,0.131146359693937,0.7,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"9","Y=~y3",0.923049915766738,0.149122305255861,0.9,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"10","Y~X",0.328142272341815,0.21352075097636,0.4,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"11","Y~Z",0.495522285650216,0.171882529437963,0.5,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"12","Y~X:Z",0.237701406960834,0.490835729517386,0.3,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"13","X~~Z",0.227979770015402,0.138023152112509,0.2,"MC-OrdPLSc",7257,9818196,300,"Extreme","2",1,TRUE,11.9639999999999
"14","X=~x1",0.392552413483898,0.188594936655993,0.4,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
"15","X=~x2",0.897395874949392,0.177383522237078,0.8,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
"16","X=~x3",0.927163699039881,0.169813321765024,0.8,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
"17","Z=~z1",0.581456252436229,0.137896449428976,0.6,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
"18","Z=~z2",0.595175173031679,0.19789034341451,0.6,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
"19","Z=~z3",0.715426964352278,0.131669880199961,0.8,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
"20","Y=~y1",0.546067043012857,0.193427018229869,0.4,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
"21","Y=~y2",0.785079719899109,0.133483438954685,0.7,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
"22","Y=~y3",0.936612834409904,0.0899626785393737,0.9,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
"23","Y~X",0.399443420285633,0.116322326429798,0.4,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
"24","Y~Z",0.635399207189133,0.0908143066065119,0.5,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
"25","Y~X:Z",0.289717800676925,0.168927967485859,0.3,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
"26","X~~Z",0.257370821848124,0.166318709562684,0.2,"MC-OrdPLSc",7273,4538316,300,"Alt.Ext","2",1,TRUE,11.4159999999999
