"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.270752241702747,0.123222231795851,0.4,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"2","X=~x2",0.730080749114443,0.0984567122799815,0.8,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"3","X=~x3",0.90895962272573,0.0689920905748749,0.8,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"4","Z=~z1",0.594669968062929,0.0980971683597308,0.6,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"5","Z=~z2",0.598424511819266,0.086909230606031,0.6,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"6","Z=~z3",0.790196327183054,0.101198923928267,0.8,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"7","Y=~y1",0.398967047338813,0.10312208853046,0.4,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"8","Y=~y2",0.79936910457801,0.0781165380935911,0.7,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"9","Y=~y3",0.806889011786247,0.082758691859272,0.9,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"10","Y~X",0.566568089594586,0.0717329703934569,0.4,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"11","Y~Z",0.538628402121771,0.089449711865463,0.5,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"12","Y~X:Z",0.262090960846792,0.142891076498879,0.3,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"13","X~~Z",0.129799136992509,0.103125738507327,0.2,"MC-OrdPLSc-II",8921,9136087,300,"Symmetric","2",1,TRUE,5.22300000000001
"14","X=~x1",0.473695397234738,0.0536599940342214,0.4,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"15","X=~x2",0.771798782529561,0.04655498638469,0.8,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"16","X=~x3",0.833721072291869,0.059164516602713,0.8,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"17","Z=~z1",0.583521330910226,0.0481374262912883,0.6,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"18","Z=~z2",0.616277129021119,0.0514234039695017,0.6,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"19","Z=~z3",0.752625068354688,0.049689838950266,0.8,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"20","Y=~y1",0.405675657480389,0.0672455644031169,0.4,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"21","Y=~y2",0.699607523482772,0.0459103047962557,0.7,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"22","Y=~y3",0.969656842683489,0.0378292537649193,0.9,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"23","Y~X",0.350636201600574,0.0639723498366802,0.4,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"24","Y~Z",0.52116626428847,0.0528490975635571,0.5,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"25","Y~X:Z",0.316583370268008,0.101858601970664,0.3,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"26","X~~Z",0.202439782657504,0.0627040942624845,0.2,"MC-OrdPLSc-II",8922,8069709,1000,"Symmetric","2",1,TRUE,5.416
"27","X=~x1",0.187977435991993,0.115804026296781,0.4,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"28","X=~x2",0.958916680042751,0.0988239898972509,0.8,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"29","X=~x3",0.735205480934468,0.0658767998119951,0.8,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"30","Z=~z1",0.511078045180149,0.0864334500481736,0.6,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"31","Z=~z2",0.637341211524872,0.0857577476936898,0.6,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"32","Z=~z3",0.862192038587253,0.0744529463560094,0.8,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"33","Y=~y1",0.473452420574281,0.0817081880344193,0.4,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"34","Y=~y2",0.653193071664436,0.070493598737074,0.7,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"35","Y=~y3",0.821815353947858,0.0616013861380291,0.9,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"36","Y~X",0.383550463221038,0.0867978707259669,0.4,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"37","Y~Z",0.449805213882727,0.0912235656341676,0.5,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"38","Y~X:Z",0.323413567505038,0.0891325957283068,0.3,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"39","X~~Z",0.126435214040938,0.101528402904765,0.2,"MC-OrdPLSc-II",8923,308167,300,"Symmetric","3",1,TRUE,4.91000000000003
"40","X=~x1",0.402038821597843,0.0446986140235815,0.4,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"41","X=~x2",0.822702561304927,0.0359533669576953,0.8,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"42","X=~x3",0.826481380764071,0.0293920501996191,0.8,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"43","Z=~z1",0.633257335874787,0.037649583503109,0.6,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"44","Z=~z2",0.585547103164082,0.0353019409595781,0.6,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"45","Z=~z3",0.77163529843078,0.0419216734640572,0.8,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"46","Y=~y1",0.445749384800609,0.0392857817355846,0.4,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"47","Y=~y2",0.718670559895352,0.0353698328058058,0.7,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"48","Y=~y3",0.880631256498711,0.0313890161326271,0.9,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"49","Y~X",0.445245784932554,0.0390850699198749,0.4,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"50","Y~Z",0.483479742401112,0.0419807444299231,0.5,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"51","Y~X:Z",0.304964206013013,0.0453546665842371,0.3,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"52","X~~Z",0.265510577276347,0.0523857441193055,0.2,"MC-OrdPLSc-II",8924,6283200,1000,"Symmetric","3",1,TRUE,5.38900000000001
"53","X=~x1",0.339883558651959,0.0705983933028953,0.4,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"54","X=~x2",0.766609614937177,0.0725240722108097,0.8,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"55","X=~x3",0.755045850895132,0.0536282830135164,0.8,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"56","Z=~z1",0.65148751078084,0.0520954138430365,0.6,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"57","Z=~z2",0.567311500991494,0.0683136171610291,0.6,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"58","Z=~z3",0.793872357577119,0.0534750057383621,0.8,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"59","Y=~y1",0.392320333651531,0.0594234579685064,0.4,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"60","Y=~y2",0.716287236160375,0.0565289689632002,0.7,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"61","Y=~y3",0.835422935341748,0.0425097951142732,0.9,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"62","Y~X",0.436984500228499,0.0688095944645581,0.4,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"63","Y~Z",0.487600089133097,0.0636366238334862,0.5,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"64","Y~X:Z",0.306319598077658,0.116618386485645,0.3,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"65","X~~Z",0.276760594574737,0.0808988608490245,0.2,"MC-OrdPLSc-II",8925,5132224,300,"Symmetric","5",1,TRUE,5.78199999999998
"66","X=~x1",0.416852943019471,0.0378640877610558,0.4,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"67","X=~x2",0.795117007691471,0.0255838556460903,0.8,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"68","X=~x3",0.797389203646549,0.0323666625333866,0.8,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"69","Z=~z1",0.58076832288714,0.0330244630565933,0.6,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"70","Z=~z2",0.610648854735356,0.0382860272029099,0.6,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"71","Z=~z3",0.801262772709366,0.0350184245636364,0.8,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"72","Y=~y1",0.385460829868194,0.0351242865644631,0.4,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"73","Y=~y2",0.735497896429236,0.0293431519863686,0.7,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"74","Y=~y3",0.903078794754932,0.0242061839979514,0.9,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"75","Y~X",0.378148733939453,0.0386170062960711,0.4,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"76","Y~Z",0.495155713478081,0.0355499790845,0.5,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"77","Y~X:Z",0.321582917552004,0.0380658074229073,0.3,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"78","X~~Z",0.208775764018324,0.0493775869610235,0.2,"MC-OrdPLSc-II",8926,715742,1000,"Symmetric","5",1,TRUE,5.62299999999999
"79","X=~x1",0.346199552524702,0.0727585040929933,0.4,"MC-OrdPLSc-II",8927,4391663,300,"Symmetric","7",1,TRUE,6.47199999999998
"80","X=~x2",0.897034820218746,0.0456579181913998,0.8,"MC-OrdPLSc-II",8927,4391663,300,"Symmetric","7",1,TRUE,6.47199999999998
"81","X=~x3",0.738777295369712,0.0540838608673738,0.8,"MC-OrdPLSc-II",8927,4391663,300,"Symmetric","7",1,TRUE,6.47199999999998
"82","Z=~z1",0.620410969246187,0.063049227930142,0.6,"MC-OrdPLSc-II",8927,4391663,300,"Symmetric","7",1,TRUE,6.47199999999998
"83","Z=~z2",0.639906207619842,0.057826909709614,0.6,"MC-OrdPLSc-II",8927,4391663,300,"Symmetric","7",1,TRUE,6.47199999999998
"84","Z=~z3",0.743690200769822,0.060677404482944,0.8,"MC-OrdPLSc-II",8927,4391663,300,"Symmetric","7",1,TRUE,6.47199999999998
"85","Y=~y1",0.455163033523235,0.0553596742398059,0.4,"MC-OrdPLSc-II",8927,4391663,300,"Symmetric","7",1,TRUE,6.47199999999998
