"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.447672015602828,0.0658784694749116,0.4,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"2","X=~x2",0.73680679711501,0.0896218693314477,0.8,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"3","X=~x3",0.83945666542263,0.0812130019438587,0.8,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"4","Z=~z1",0.657157324651109,0.0944963024804332,0.6,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"5","Z=~z2",0.536440872573274,0.108837422238101,0.6,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"6","Z=~z3",0.784928604371557,0.097226106555143,0.8,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"7","Y=~y1",0.29848695443051,0.0973359621837285,0.4,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"8","Y=~y2",0.732325135674185,0.057736221967761,0.7,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"9","Y=~y3",0.885942945481453,0.0672052645606857,0.9,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"10","Y~X",0.462626853105575,0.098046146813474,0.4,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"11","Y~Z",0.533224706905792,0.101855478726411,0.5,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"12","Y~X:Z",0.289150211595968,0.105046139396323,0.3,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"13","X~~Z",0.274429164014481,0.0955881185229685,0.2,"MC-OrdPLSc-II",13961,6827339,300,"Symmetric","2",1,TRUE,6.17499999999927
"14","X=~x1",0.492717367872342,0.0548819786264261,0.4,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"15","X=~x2",0.753105069411739,0.050785746947549,0.8,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"16","X=~x3",0.757690199730666,0.0484198102388313,0.8,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"17","Z=~z1",0.656246833052461,0.0527565731796304,0.6,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"18","Z=~z2",0.633722180883699,0.0547330525335477,0.6,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"19","Z=~z3",0.821871560372157,0.0478194384918657,0.8,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"20","Y=~y1",0.459249176790186,0.0511373831773934,0.4,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"21","Y=~y2",0.693448258395455,0.0575435090501257,0.7,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"22","Y=~y3",0.840729851766559,0.0700118228851703,0.9,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"23","Y~X",0.421462749764533,0.0568084840317511,0.4,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"24","Y~Z",0.488637392550276,0.0617692124114268,0.5,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"25","Y~X:Z",0.302468860729234,0.104586134009209,0.3,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"26","X~~Z",0.212374469727151,0.0531603979370338,0.2,"MC-OrdPLSc-II",13962,4771651,1000,"Symmetric","2",1,TRUE,5.17699999999968
"27","X=~x1",0.342524763141278,0.0893135902164479,0.4,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"28","X=~x2",0.825762908834173,0.076715377499579,0.8,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"29","X=~x3",0.848464847877771,0.0447157415290075,0.8,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"30","Z=~z1",0.544248723363617,0.0591623586520082,0.6,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"31","Z=~z2",0.534060518326724,0.0903430839162837,0.6,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"32","Z=~z3",0.798303656244542,0.0698829820498782,0.8,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"33","Y=~y1",0.270080940673258,0.081020940650914,0.4,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"34","Y=~y2",0.532498070543659,0.063829358501282,0.7,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"35","Y=~y3",0.887655259124486,0.0738788586488853,0.9,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"36","Y~X",0.464605049149573,0.096073081341174,0.4,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"37","Y~Z",0.582215438953006,0.0840317643627286,0.5,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"38","Y~X:Z",0.288284325419031,0.119610732443648,0.3,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"39","X~~Z",0.283363723059057,0.0936839165600505,0.2,"MC-OrdPLSc-II",13963,4115070,300,"Symmetric","3",1,TRUE,5.23099999999977
"40","X=~x1",0.428382526934579,0.0438553505338444,0.4,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
"41","X=~x2",0.816016948414969,0.0466451006001537,0.8,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
"42","X=~x3",0.733764039181705,0.040663183059282,0.8,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
"43","Z=~z1",0.612384881878431,0.0495842721961038,0.6,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
"44","Z=~z2",0.645858893631778,0.0445399661865342,0.6,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
"45","Z=~z3",0.810783502603143,0.0421902356024717,0.8,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
"46","Y=~y1",0.415667711224458,0.0392473301285969,0.4,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
"47","Y=~y2",0.678380047439629,0.0382756046394054,0.7,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
"48","Y=~y3",0.918736755584837,0.036732701740567,0.9,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
"49","Y~X",0.421899885738006,0.0456583338224796,0.4,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
"50","Y~Z",0.47902002727157,0.0441589951043824,0.5,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
"51","Y~X:Z",0.245762459753644,0.0585257226956969,0.3,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
"52","X~~Z",0.184332295869196,0.0413676344648999,0.2,"MC-OrdPLSc-II",13964,6179375,1000,"Symmetric","3",1,TRUE,5.17199999999866
