"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"1","X=~x1",0.999,0.140871834109797,0.8,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"2","X=~x2",0.70291906146206,0.171852683440204,0.8,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"3","X=~x3",0.607300890505436,0.21065970919921,0.8,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"4","Z=~z1",0.654443025685014,0.109549518086443,0.8,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"5","Z=~z2",0.819722695813593,0.0780035221981504,0.8,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"6","Z=~z3",0.849543611145445,0.079725362437934,0.8,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"7","Y=~y1",0.823531692583664,0.0838516158348244,0.8,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"8","Y=~y2",0.869582320811237,0.0813230918189978,0.8,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"9","Y=~y3",0.712198241383408,0.0971148537286241,0.8,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"10","Y~X",0.249511498175398,0.105589347094145,0.4,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"11","Y~Z",0.572586614529023,0.086091700872927,0.5,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"12","Y~X:Z",0.346001601266461,0.163103620263349,0.3,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"13","X~~Z",0.22419889511167,0.108192200548227,0.2,"MC-OrdPLSc",481,1057143,200,"Symmetric","2",TRUE,8.37999999999738
"14","X=~x1",0.986529809395808,0.162323248027411,0.8,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"15","X=~x2",0.56851513283654,0.189041852988475,0.8,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"16","X=~x3",0.397605848816299,0.222343683054768,0.8,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"17","Z=~z1",0.476974359297243,0.119099560551229,0.8,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"18","Z=~z2",0.688099186599909,0.0923310457331748,0.8,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"19","Z=~z3",0.75158730006517,0.08267950071523,0.8,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"20","Y=~y1",0.711668677306258,0.0873881340252532,0.8,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"21","Y=~y2",0.70167661805635,0.0786870531914229,0.8,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"22","Y=~y3",0.527428760303177,0.0933772932652389,0.8,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"23","Y~X",0.21877278025024,0.11070695059631,0.4,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"24","Y~Z",0.559158850075886,0.108159630775541,0.5,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"25","Y~X:Z",0.268021524025303,0.154484210959537,0.3,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"26","X~~Z",0.189764729934493,0.132061812370374,0.2,"PLSc",481,1057143,200,"Symmetric","2",TRUE,2.45000000000437
"27","X=~x1",0.898731353699876,0.0530359790855839,0.8,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"28","X=~x2",0.750700919678035,0.11165805461547,0.8,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"29","X=~x3",0.668238923351146,0.14231128215984,0.8,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"30","Z=~z1",0.692918068766792,0.0744390233005127,0.8,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"31","Z=~z2",0.810529513292327,0.0426339381865589,0.8,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"32","Z=~z3",0.824259889904358,0.0388949505813565,0.8,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"33","Y=~y1",0.797439396036493,0.0428758785440339,0.8,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"34","Y=~y2",0.826064959314992,0.0327071644084426,0.8,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"35","Y=~y3",0.720021876900566,0.0558131882756108,0.8,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"36","Y~X",0.190125936821388,0.0572670473408413,0.4,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"37","Y~Z",0.382786110041952,0.0613523734274554,0.5,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"38","Y~X:Z",0.14979873947565,0.067049550682527,0.3,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"39","X~~Z",0.146755578932598,0.0699345114554979,0.2,"PLS",481,1057143,200,"Symmetric","2",TRUE,1.58999999999651
"40","X=~x1",0.848,0.078,0.8,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"41","X=~x2",0.77,0.083,0.8,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"42","X=~x3",0.697,0.084,0.8,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"43","Z=~z1",0.67,0.083,0.8,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"44","Z=~z2",0.782,0.078,0.8,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"45","Z=~z3",0.809,0.077,0.8,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"46","Y=~y1",0.758,0.079,0.8,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"47","Y=~y2",0.88,0.069,0.8,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"48","Y=~y3",0.71,0.081,0.8,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"49","Y~X",0.248,0.102,0.4,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"50","Y~Z",0.562,0.089,0.5,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"51","Y~X:Z",0.304,0.142,0.3,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"52","X~~Z",0.207,0.108,0.2,"Mplus",481,1057143,200,"Symmetric","2",TRUE,35.2200000000012
"53","X=~x1",0.395418074937232,3.8856807521241,0.5,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"54","X=~x2",0.997995967038475,9.60295163121663,0.5,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"55","X=~x3",0.134327961162809,1.0684902278642,0.5,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"56","Z=~z1",0.419519769274644,0.262664294049048,0.5,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"57","Z=~z2",0.267712254348731,0.392299005585419,0.5,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"58","Z=~z3",0.99841733267804,2.84671062191048,0.5,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"59","Y=~y1",0.372512962997963,1.66509995446671,0.5,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"60","Y=~y2",0.454558168294985,1.10997606247597,0.5,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"61","Y=~y3",0.754544870412073,1.01798608247292,0.5,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"62","Y~X",0.251211709516535,1.38381891082846,0.4,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"63","Y~Z",0.287209411828118,1.09663071260067,0.5,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"64","Y~X:Z",-0.0280540914949136,0.92078392608512,0.3,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"65","X~~Z",0.227181093348464,1.96813196213344,0.2,"MC-OrdPLSc",482,6746201,200,"Symmetric","2",TRUE,11
"66","X=~x1",0.30950482975664,0.346433511185033,0.5,"PLSc",482,6746201,200,"Symmetric","2",TRUE,3.68000000000029
"67","X=~x2",0.769731554701313,0.299977873889653,0.5,"PLSc",482,6746201,200,"Symmetric","2",TRUE,3.68000000000029
"68","X=~x3",-0.00643509767928039,0.333368139763286,0.5,"PLSc",482,6746201,200,"Symmetric","2",TRUE,3.68000000000029
"69","Z=~z1",0.32976101915731,0.290938775094252,0.5,"PLSc",482,6746201,200,"Symmetric","2",TRUE,3.68000000000029
"70","Z=~z2",0.206901393554896,0.279408622371118,0.5,"PLSc",482,6746201,200,"Symmetric","2",TRUE,3.68000000000029
"71","Z=~z3",0.863037406296154,0.28191362964057,0.5,"PLSc",482,6746201,200,"Symmetric","2",TRUE,3.68000000000029
"72","Y=~y1",0.235285186952514,0.226448703205409,0.5,"PLSc",482,6746201,200,"Symmetric","2",TRUE,3.68000000000029
