"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.337765792997165,0.123574476314208,0.4,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"2","X=~x2",0.800174447672272,0.104578357191082,0.8,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"3","X=~x3",0.750048401720171,0.125759815922687,0.8,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"4","Z=~z1",0.519763170492538,0.0674723096338577,0.6,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"5","Z=~z2",0.785125475131156,0.245674450898927,0.6,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"6","Z=~z3",0.768305868662552,0.0930114629794064,0.8,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"7","Y=~y1",0.383257087364343,0.104898144783478,0.4,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"8","Y=~y2",0.675001480445969,0.0859419230372236,0.7,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"9","Y=~y3",0.94916848873672,0.107388113606805,0.9,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"10","Y~X",0.579681727142002,0.0789644399887993,0.4,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"11","Y~Z",0.351045049148889,0.121755648610153,0.5,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"12","Y~X:Z",0.388021424488552,0.0889982374705253,0.3,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"13","X~~Z",0.11074697512496,0.132235353481924,0.2,"MC-OrdPLSc-Median",6561,4178193,300,"Symmetric","2",1,TRUE,117.801999999996
"14","X=~x1",0.363493446303541,0.0650843006933391,0.4,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"15","X=~x2",0.733046391366682,0.0656035861361396,0.8,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"16","X=~x3",0.829602433881353,0.0458899641431136,0.8,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"17","Z=~z1",0.54379567528528,0.0558059899742252,0.6,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"18","Z=~z2",0.708677095629321,0.0590414689761593,0.6,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"19","Z=~z3",0.810530363594881,0.0622406346730716,0.8,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"20","Y=~y1",0.418385753988564,0.0446381966551095,0.4,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"21","Y=~y2",0.765303895872935,0.0431798206873563,0.7,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"22","Y=~y3",0.871349157870307,0.0380861112614675,0.9,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"23","Y~X",0.397871181046311,0.0741794681563532,0.4,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"24","Y~Z",0.474148590648766,0.0493856181989393,0.5,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"25","Y~X:Z",0.221922423169141,0.0831588401382727,0.3,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"26","X~~Z",0.223135723862145,0.0531168398171883,0.2,"MC-OrdPLSc-Median",6562,6117027,1000,"Symmetric","2",1,TRUE,41.6670000000013
"27","X=~x1",0.418054576353627,0.0849251386534001,0.4,"MC-OrdPLSc-Median",6563,9780733,300,"Symmetric","3",1,TRUE,134.977000000014
"28","X=~x2",0.853297150404149,0.109984265039577,0.8,"MC-OrdPLSc-Median",6563,9780733,300,"Symmetric","3",1,TRUE,134.977000000014
"29","X=~x3",0.8269210133742,0.125051351335543,0.8,"MC-OrdPLSc-Median",6563,9780733,300,"Symmetric","3",1,TRUE,134.977000000014
"30","Z=~z1",0.594320887120323,0.0556377813560913,0.6,"MC-OrdPLSc-Median",6563,9780733,300,"Symmetric","3",1,TRUE,134.977000000014
