"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.383172547471032,0.275912233162825,0.4,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"2","X=~x2",0.988227802486911,0.582120071761683,0.8,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"3","X=~x3",0.657193990266439,0.172283302968659,0.8,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"4","Z=~z1",0.486974983497376,0.156395156856963,0.6,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"5","Z=~z2",0.276365119256197,0.266925545074112,0.6,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"6","Z=~z3",0.76549709123644,0.555407195956045,0.8,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"7","Y=~y1",0.217357301556523,0.144993096873224,0.4,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"8","Y=~y2",0.573413085088096,0.364397738178166,0.7,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"9","Y=~y3",0.714296902988601,0.217450304276036,0.9,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"10","Y~X",0.105727098014696,1.04041609016988,0.4,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"11","Y~Z",0.774555520556291,0.609951120460229,0.5,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"12","Y~X:Z",0.578368036342464,2.10209935478195,0.3,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"13","X~~Z",0.170091718580944,0.276087855995939,0.2,"MC-OrdPLSc",7777,9307910,300,"Extreme","2",1,TRUE,16.578
"14","X=~x1",0.338742937051884,0.424329055711711,0.4,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
"15","X=~x2",0.920343362524531,0.86669932798349,0.8,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
"16","X=~x3",0.609482734338656,0.537050724766336,0.8,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
"17","Z=~z1",0.25827025814007,0.245399246058697,0.6,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
"18","Z=~z2",0.498515127325401,0.26131372663606,0.6,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
"19","Z=~z3",0.921590587704848,0.427445852863305,0.8,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
"20","Y=~y1",0.694663543318399,0.182211650444206,0.4,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
"21","Y=~y2",0.731646119546884,0.207853206412844,0.7,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
"22","Y=~y3",0.784679068142772,0.214761552891536,0.9,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
"23","Y~X",0.317400878718759,0.324080190488249,0.4,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
"24","Y~Z",0.523136720766634,0.25642457527202,0.5,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
"25","Y~X:Z",0.510849854521424,0.408788190862551,0.3,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
"26","X~~Z",0.0823159085820884,0.229817335612973,0.2,"MC-OrdPLSc",7793,6742669,300,"Alt.Ext","2",1,TRUE,13.437
