"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"1","X=~x1",0.630329821400086,0.0993167006403387,0.8,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"2","X=~x2",0.999,0.136696682101306,0.8,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"3","X=~x3",0.71977976339241,0.114731859337159,0.8,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"4","Z=~z1",0.891327252889809,0.0604678800195918,0.8,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"5","Z=~z2",0.744560337337552,0.0752870382664258,0.8,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"6","Z=~z3",0.752848751881424,0.0819453248240996,0.8,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"7","Y=~y1",0.79667435353028,0.0702808057378084,0.8,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"8","Y=~y2",0.743157225629234,0.0729657477313967,0.8,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"9","Y=~y3",0.90170043738515,0.0592031339860385,0.8,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"10","Y~X",0.361279227333961,0.0841970599020529,0.4,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"11","Y~Z",0.589277959849565,0.0860392022204511,0.5,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"12","Y~X:Z",0.432498490908968,0.124538804208331,0.3,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"13","X~~Z",0.1754362100613,0.116020326315872,0.2,"MC-OrdPLSc",721,8156954,200,"Symmetric","2",TRUE,14.56
"14","X=~x1",NA,NA,0.8,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"15","X=~x2",NA,NA,0.8,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"16","X=~x3",NA,NA,0.8,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"17","Z=~z1",NA,NA,0.8,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"18","Z=~z2",NA,NA,0.8,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"19","Z=~z3",NA,NA,0.8,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"20","Y=~y1",NA,NA,0.8,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"21","Y=~y2",NA,NA,0.8,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"22","Y=~y3",NA,NA,0.8,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"23","Y~X",NA,NA,0.4,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"24","Y~Z",NA,NA,0.5,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"25","Y~X:Z",NA,NA,0.3,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"26","X~~Z",NA,NA,0.2,"PLSc",721,8156954,200,"Symmetric","2",FALSE,3.38
"27","X=~x1",0.681593608545644,0.0874876798262743,0.8,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"28","X=~x2",0.897069254522669,0.0331429983098422,0.8,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"29","X=~x3",0.759669875540373,0.0672636556421951,0.8,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"30","Z=~z1",0.842376596428822,0.0302226425600375,0.8,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"31","Z=~z2",0.759482501998696,0.0497741081979316,0.8,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"32","Z=~z3",0.766253836916296,0.0511591601205496,0.8,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"33","Y=~y1",0.770368691408277,0.0421191404392559,0.8,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"34","Y=~y2",0.741828084976887,0.0507704738293801,0.8,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"35","Y=~y3",0.836420593652181,0.0316050055394575,0.8,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"36","Y~X",0.27720914641487,0.0579263692269571,0.4,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"37","Y~Z",0.414485973183525,0.060731404224962,0.5,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"38","Y~X:Z",0.190877594429564,0.0643579164072331,0.3,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"39","X~~Z",0.117128664950073,0.0691003247847989,0.2,"PLS",721,8156954,200,"Symmetric","2",TRUE,2.17
"40","X=~x1",0.638,0.073,0.8,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"41","X=~x2",0.987,0.021,0.8,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"42","X=~x3",0.674,0.075,0.8,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"43","Z=~z1",0.836,0.067,0.8,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"44","Z=~z2",0.742,0.077,0.8,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"45","Z=~z3",0.758,0.072,0.8,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"46","Y=~y1",0.776,0.074,0.8,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"47","Y=~y2",0.726,0.076,0.8,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"48","Y=~y3",0.922,0.051,0.8,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"49","Y~X",0.39,0.085,0.4,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"50","Y~Z",0.577,0.08,0.5,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"51","Y~X:Z",0.486,0.101,0.3,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"52","X~~Z",0.142,0.105,0.2,"Mplus",721,8156954,200,"Symmetric","2",TRUE,39.82
"53","X=~x1",NA,NA,0.5,"MC-OrdPLSc",722,2652794,200,"Symmetric","2",FALSE,22.88
"54","X=~x2",NA,NA,0.5,"MC-OrdPLSc",722,2652794,200,"Symmetric","2",FALSE,22.88
"55","X=~x3",NA,NA,0.5,"MC-OrdPLSc",722,2652794,200,"Symmetric","2",FALSE,22.88
