"","par","est","se","true","method","id","seed","n","skew","ncat","model.id","admissible","time"
"1","X=~x1",0.457098978477012,0.0999407849843367,0.4,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"2","X=~x2",0.828252992055399,0.141248009658227,0.8,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"3","X=~x3",0.694806546677495,0.10544935904246,0.8,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"4","Z=~z1",0.591886105927552,0.0691585431529364,0.6,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"5","Z=~z2",0.610009603906804,0.0925633393523671,0.6,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"6","Z=~z3",0.822371635625919,0.0961837296278416,0.8,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"7","Y=~y1",0.457189935179559,0.0846470048678009,0.4,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"8","Y=~y2",0.693398643067336,0.0566729355662092,0.7,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"9","Y=~y3",0.801841542764118,0.0676308417588066,0.9,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"10","Y~X",0.402896928773954,0.0999684275639525,0.4,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"11","Y~Z",0.572683207556798,0.0992311874863784,0.5,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"12","Y~X:Z",0.105775024395046,0.169101866817873,0.3,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"13","X~~Z",0.422286367281721,0.100731222296114,0.2,"MC-OrdPLSc-II",10641,4895171,300,"Symmetric","2",1,TRUE,6.28199999999924
"14","X=~x1",0.485168811993526,0.062828742488303,0.4,"MC-OrdPLSc-II",10642,6742349,1000,"Symmetric","2",1,TRUE,7.47900000000118
"15","X=~x2",0.746658213314279,0.042724242957704,0.8,"MC-OrdPLSc-II",10642,6742349,1000,"Symmetric","2",1,TRUE,7.47900000000118
"16","X=~x3",0.800490719110766,0.0511817171804847,0.8,"MC-OrdPLSc-II",10642,6742349,1000,"Symmetric","2",1,TRUE,7.47900000000118
"17","Z=~z1",0.599066890128562,0.0767139293924276,0.6,"MC-OrdPLSc-II",10642,6742349,1000,"Symmetric","2",1,TRUE,7.47900000000118
"18","Z=~z2",0.653411124753675,0.0550972029480203,0.6,"MC-OrdPLSc-II",10642,6742349,1000,"Symmetric","2",1,TRUE,7.47900000000118
"19","Z=~z3",0.776255973641642,0.0475996184364573,0.8,"MC-OrdPLSc-II",10642,6742349,1000,"Symmetric","2",1,TRUE,7.47900000000118
