"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"1","X=~x1",0.73564565872405,0.082159606287577,0.8,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"2","X=~x2",0.822976474571904,0.0702536511131385,0.8,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"3","X=~x3",0.925059836723564,0.0596634304040717,0.8,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"4","Z=~z1",0.750130240849855,0.0958373416377048,0.8,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"5","Z=~z2",0.755932927387675,0.0979082712436688,0.8,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"6","Z=~z3",0.778477996501627,0.0861527877928964,0.8,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"7","Y=~y1",0.827644397270386,0.0550464474939774,0.8,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"8","Y=~y2",0.849440005301328,0.0478489479816642,0.8,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"9","Y=~y3",0.893161597444465,0.0559386629500441,0.8,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"10","Y~X",0.535145040870243,0.0737361237715322,0.4,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"11","Y~Z",0.552767454151746,0.0732465878018281,0.5,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"12","Y~X:Z",0.401938005836422,0.116700827057883,0.3,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"13","X~~Z",0.0480095067931015,0.111941896844056,0.2,"MC-OrdPLSc",481,1190627,200,"Symmetric","2",TRUE,13.8400000000111
"14","X=~x1",0.590939629362829,0.116317202267548,0.8,"PLSc",481,1190627,200,"Symmetric","2",TRUE,3.13999999999942
"15","X=~x2",0.709058593840282,0.104973307247978,0.8,"PLSc",481,1190627,200,"Symmetric","2",TRUE,3.13999999999942
"16","X=~x3",0.785203577289354,0.0947934570379774,0.8,"PLSc",481,1190627,200,"Symmetric","2",TRUE,3.13999999999942
"17","Z=~z1",0.586661819561205,0.107686353961186,0.8,"PLSc",481,1190627,200,"Symmetric","2",TRUE,3.13999999999942
"18","Z=~z2",0.619399053757625,0.103987636510091,0.8,"PLSc",481,1190627,200,"Symmetric","2",TRUE,3.13999999999942
"19","Z=~z3",0.671324583598873,0.103141809048661,0.8,"PLSc",481,1190627,200,"Symmetric","2",TRUE,3.13999999999942
"20","Y=~y1",0.678799681624985,0.0759413727105439,0.8,"PLSc",481,1190627,200,"Symmetric","2",TRUE,3.13999999999942
