"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"44","Z=~z2",0.711,0.085,0.8,"Mplus",1201,9009238,200,"Symmetric","2",TRUE,48.05
"45","Z=~z3",0.706,0.086,0.8,"Mplus",1201,9009238,200,"Symmetric","2",TRUE,48.05
"46","Y=~y1",0.822,0.066,0.8,"Mplus",1201,9009238,200,"Symmetric","2",TRUE,48.05
"47","Y=~y2",0.845,0.063,0.8,"Mplus",1201,9009238,200,"Symmetric","2",TRUE,48.05
"48","Y=~y3",0.809,0.068,0.8,"Mplus",1201,9009238,200,"Symmetric","2",TRUE,48.05
"49","Y~X",0.348,0.095,0.4,"Mplus",1201,9009238,200,"Symmetric","2",TRUE,48.05
"50","Y~Z",0.505,0.089,0.5,"Mplus",1201,9009238,200,"Symmetric","2",TRUE,48.05
"51","Y~X:Z",0.339,0.127,0.3,"Mplus",1201,9009238,200,"Symmetric","2",TRUE,48.05
"52","X~~Z",0.062,0.111,0.2,"Mplus",1201,9009238,200,"Symmetric","2",TRUE,48.05
"53","X=~x1",NA,NA,0.5,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"54","X=~x2",NA,NA,0.5,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"55","X=~x3",NA,NA,0.5,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"56","Z=~z1",NA,NA,0.5,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"57","Z=~z2",NA,NA,0.5,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"58","Z=~z3",NA,NA,0.5,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"59","Y=~y1",NA,NA,0.5,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"60","Y=~y2",NA,NA,0.5,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"61","Y=~y3",NA,NA,0.5,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"62","Y~X",NA,NA,0.4,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"63","Y~Z",NA,NA,0.5,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"64","Y~X:Z",NA,NA,0.3,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"65","X~~Z",NA,NA,0.2,"MC-OrdPLSc",1202,2859713,200,"Symmetric","2",FALSE,24.15
"66","X=~x1",NA,NA,0.5,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
"67","X=~x2",NA,NA,0.5,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
"68","X=~x3",NA,NA,0.5,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
"69","Z=~z1",NA,NA,0.5,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
"70","Z=~z2",NA,NA,0.5,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
"71","Z=~z3",NA,NA,0.5,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
"72","Y=~y1",NA,NA,0.5,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
"73","Y=~y2",NA,NA,0.5,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
"74","Y=~y3",NA,NA,0.5,"PLSc",1202,2859713,200,"Symmetric","2",FALSE,5.19
